training
90	90	90	90	90	90	90	90	90	90	92	90	73	81	52	41	23	23	23	23	23
0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,920	0,900	0,730	0,810	0,520	0,410	0,230	0,230	0,230	0,230	0,230
0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,010	0,008	0,010	0,026	0,019	0,061	0,071	0,102	0,102	0,102	0,102	0,102
0,907	0,907	0,907	0,907	0,907	0,907	0,907	0,907	0,907	0,907	0,932	0,907	0,704	0,731	0,334	0,207	0,060	0,060	0,060	0,060	0,060
0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,900	0,920	0,900	0,730	0,810	0,520	0,410	0,230	0,230	0,230	0,230	0,230
0,899	0,899	0,899	0,899	0,899	0,899	0,899	0,899	0,899	0,899	0,921	0,899	0,694	0,763	0,394	0,267	0,093	0,093	0,093	0,093	0,093
0,984	0,984	0,984	0,984	0,984	0,984	0,984	0,984	0,984	0,984	0,990	0,984	0,963	0,959	0,908	0,848	0,709	0,709	0,709	0,709	0,709
test
62	62	63	62	62	62	62	62	62	62	62	62	59	64	49	36	23	22	23	24	24
0,620	0,620	0,630	0,620	0,620	0,620	0,620	0,620	0,620	0,620	0,620	0,620	0,590	0,640	0,490	0,360	0,230	0,220	0,230	0,240	0,240
0,045	0,045	0,044	0,045	0,045	0,045	0,045	0,045	0,045	0,045	0,042	0,045	0,047	0,037	0,062	0,081	0,097	0,100	0,099	0,097	0,097
0,628	0,628	0,653	0,628	0,628	0,628	0,628	0,628	0,641	0,641	0,640	0,628	0,591	0,675	0,481	0,361	0,264	0,192	0,206	0,280	0,196
0,620	0,620	0,630	0,620	0,620	0,620	0,620	0,620	0,620	0,620	0,620	0,620	0,590	0,640	0,490	0,360	0,230	0,220	0,230	0,240	0,240
0,618	0,618	0,627	0,618	0,618	0,618	0,618	0,618	0,619	0,619	0,620	0,618	0,581	0,629	0,441	0,335	0,212	0,188	0,195	0,211	0,197
0,849	0,849	0,840	0,849	0,849	0,849	0,849	0,849	0,850	0,850	0,877	0,849	0,853	0,876	0,855	0,798	0,741	0,722	0,722	0,727	0,747
