training
97.45	97.45	97.55	97.25	97.3	97.3	97.45	97.45	97.45	97.5	99.4	97.45	94.5	91	86.5	84.05	75	68.25	50.35	28.5	19.7
0,975	0,975	0,976	0,973	0,973	0,973	0,975	0,975	0,975	0,975	0,994	0,975	0,945	0,910	0,865	0,841	0,750	0,683	0,504	0,285	0,197
0,003	0,003	0,003	0,003	0,003	0,003	0,003	0,003	0,003	0,003	0,001	0,003	0,006	0,010	0,015	0,018	0,028	0,035	0,055	0,080	0,090
0,975	0,975	0,976	0,973	0,973	0,973	0,975	0,975	0,975	0,975	0,994	0,975	0,946	0,911	0,868	0,853	0,769	0,621	0,313	0,098	0,049
0,975	0,975	0,976	0,973	0,973	0,973	0,975	0,975	0,975	0,975	0,994	0,975	0,945	0,910	0,865	0,841	0,750	0,683	0,504	0,285	0,197
0,975	0,975	0,976	0,973	0,973	0,973	0,974	0,975	0,975	0,975	0,994	0,975	0,945	0,910	0,866	0,843	0,752	0,645	0,383	0,143	0,076
0,999	0,999	1,000	0,999	0,999	0,999	0,999	0,999	0,999	0,999	1,000	0,999	0,996	0,992	0,982	0,978	0,953	0,914	0,850	0,753	0,642
test
87.9	87.9	87.5	87.9	87.85	87.85	87.9	87.9	87.9	87.9	87.9	87.9	87.55	86.15	82.5	79.1	71.7	66.45	42.85	24.5	19.7
0,879	0,879	0,875	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,876	0,862	0,825	0,791	0,717	0,665	0,429	0,245	0,197
0,013	0,013	0,014	0,013	0,014	0,014	0,013	0,013	0,013	0,013	0,013	0,013	0,014	0,015	0,019	0,023	0,032	0,037	0,063	0,084	0,090
0,880	0,880	0,876	0,880	0,880	0,880	0,880	0,880	0,880	0,880	0,880	0,880	0,876	0,863	0,830	0,793	0,733	0,607	0,270	0,149	0,049
0,879	0,879	0,875	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,876	0,862	0,825	0,791	0,717	0,665	0,429	0,245	0,197
0,879	0,879	0,875	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,879	0,876	0,862	0,826	0,791	0,719	0,629	0,323	0,150	0,076
0,940	0,940	0,940	0,942	0,940	0,940	0,940	0,940	0,940	0,940	0,930	0,940	0,949	0,956	0,956	0,946	0,934	0,899	0,817	0,707	0,624
